a: 		0000
Ä: 		0001
‚: 		0010
I: 		001100
f: 		001101
B: 		001110000
T: 		001110001
L: 		0011100100
O: 		0011100101
D: 		0011100110
q: 		0011100111
c: 		0011101
N: 		001111000
j: 		001111001
H: 		001111010
!: 		0011110110
¶: 		0011110111
b: 		0011111
t: 		0100
ô: 		010100
w: 		010101
h: 		01011
o: 		0110
u: 		01110
k: 		0111100
W: 		01111010
Y: 		01111011
.: 		011111

: 		10000
s: 		10001
ú: 		100100
ù: 		100101
r: 		10011
 : 		101
m: 		110000
g: 		1100010
,: 		1100011
l: 		11001
S: 		110100000
J: 		110100001
A: 		11010001
p: 		1101001
y: 		110101
d: 		110110
v: 		1101110
?: 		1101111
i: 		11100
n: 		11101
e: 		1111
