e: 		000
g: 		00100
w: 		001010
?: 		0010110
,: 		00101110
R: 		0010111100
T: 		0010111101
V: 		0010111110
ü: 		0010111111
a: 		0011
t: 		0100
l: 		010100
o: 		010101
Z: 		0101100000
∂: 		0101100001
-: 		0101100010
B: 		0101100011
E: 		0101100100
O: 		0101100101
L: 		010110011
N: 		010110100
º: 		010110101
J: 		01011011
K: 		01011100
k: 		01011101
W: 		01011110
¶: 		01011111
n: 		0110
u: 		01110
ù: 		011110
ú: 		011111
c: 		10000
‚: 		10001
i: 		1001
 : 		101
Ä: 		11000
p: 		1100100
m: 		1100101
D: 		110011
b: 		1101000
S: 		11010010
H: 		110100110
z: 		110100111
f: 		11010100
M: 		11010101
§: 		110101100
A: 		110101101
F: 		11010111
d: 		110110
G: 		11011100
√: 		11011101
I: 		1101111
r: 		11100
h: 		11101
s: 		11110
.: 		111110

: 		111111
