n: 		0000
f: 		000100
,: 		000101
d: 		00011
a: 		0010
u: 		00110
c: 		001110
Y: 		0011110
S: 		00111110
A: 		00111111
t: 		0100
i: 		0101
o: 		0110
ù: 		011100
ú: 		011101
m: 		011110
k: 		0111110
v: 		0111111
s: 		10000

: 		100010
?: 		10001100
N: 		100011010
O: 		1000110110
D: 		1000110111
ô: 		1000111
h: 		10010
‚: 		10011
Ä: 		10100
I: 		1010100
p: 		1010101
g: 		101011
e: 		1011
 : 		110
.: 		111000
w: 		111001
r: 		11101
l: 		11110
y: 		111110
j: 		111111000
T: 		111111001
W: 		111111010
x: 		1111110110
H: 		11111101110
!: 		11111101111
b: 		1111111
