U: 		00000000
M: 		00000001
f: 		0000001
ü: 		00000100
I: 		00000101
K: 		0000011000
0: 		0000011001
F: 		0000011010
∂: 		0000011011
C: 		0000011100
R: 		0000011101
x: 		0000011110
ì: 		0000011111
d: 		00001
t: 		0001
c: 		00100
l: 		00101
O: 		001100000
4: 		001100001
L: 		001100010
B: 		001100011
5: 		0011001000
V: 		0011001001
8: 		0011001010
J: 		0011001011
S: 		001100110
j: 		0011001110
N: 		0011001111

: 		001101
u: 		00111
?: 		01000000
G: 		010000010
A: 		010000011
T: 		010000100
Z: 		010000101
º: 		01000011
v: 		0100010
z: 		0100011
,: 		010010
.: 		010011
s: 		0101
e: 		011
o: 		100000
m: 		100001
g: 		100010
ú: 		1000110
k: 		1000111
i: 		1001
W: 		10100000
E: 		101000010
§: 		101000011
b: 		1010001
D: 		101001
a: 		10101
n: 		1011
w: 		110000
Ä: 		110001
h: 		11001
√: 		1101000
ù: 		1101001
‚: 		110101
r: 		11011
 : 		111
