e: 		000
n: 		0010
d: 		00110
,: 		001110
f: 		001111
S: 		010000000
T: 		010000001
K: 		010000010
-: 		0100000110
j: 		0100000111
:: 		010000100
O: 		0100001010
Z: 		0100001011
§: 		0100001100
¶: 		0100001101
∂: 		010000111
Y: 		0100010
W: 		01000110
U: 		010001110
F: 		0100011110
H: 		0100011111
h: 		01001
y: 		01010
l: 		01011
c: 		011000
w: 		011001
Ä: 		01101
o: 		0111
I: 		10000000
B: 		10000001
N: 		10000010
k: 		10000011
g: 		100001

: 		10001
‚: 		10010
a: 		10011
 : 		101
ô: 		1100000
p: 		11000010
E: 		11000011
ú: 		1100010
ù: 		1100011
u: 		11001
s: 		11010
r: 		11011
x: 		111000000
√: 		111000001
D: 		11100001
?: 		111000100
A: 		111000101
z: 		11100011
.: 		111001
t: 		11101
i: 		11110
m: 		111110
v: 		1111110
b: 		1111111
