c: 		00000
D: 		000010
P: 		000011000
J: 		0000110010
¶: 		0000110011
k: 		00001101
º: 		00001110
E: 		00001111
V: 		0001000000
Z: 		0001000001
§: 		000100001
∂: 		000100010
K: 		000100011
S: 		000100100
G: 		000100101
y: 		0001001100
!: 		0001001101
ü: 		000100111
ù: 		000101
‚: 		00011
Ä: 		00100
ú: 		001010
,: 		0010110
L: 		00101110
U: 		00101111
r: 		0011
e: 		010
i: 		0110
u: 		01110
.: 		011110
√: 		0111110
z: 		01111110
j: 		0111111100
F: 		0111111101
M: 		011111111
h: 		10000
b: 		100010
A: 		10001100
N: 		100011010
W: 		100011011
I: 		1000111
s: 		1001
 : 		101
m: 		110000
?: 		1100010
w: 		1100011
d: 		11001
n: 		1101
g: 		111000
l: 		111001

: 		111010
o: 		11101100
p: 		111011010
v: 		111011011
f: 		1110111
t: 		11110
a: 		11111
