e: 		000
i: 		0010
H: 		001100000
S: 		001100001
D: 		0011000100
5: 		0011000101
4: 		001100011
p: 		0011001
,: 		001101
g: 		001110
?: 		00111100
B: 		001111010
0: 		0011110110
C: 		0011110111
v: 		0011111
n: 		0100
b: 		0101000
k: 		0101001

: 		010101
‚: 		01011
o: 		0110
l: 		01110
Ä: 		01111
u: 		10000
w: 		100010
c: 		100011
t: 		1001
h: 		10100
8: 		1010100000
L: 		1010100001
O: 		101010001
Y: 		10101001
W: 		101010100
x: 		101010101
T: 		101010110
A: 		101010111
f: 		101011
.: 		101100
ù: 		1011010
ô: 		1011011
m: 		101110
y: 		101111
r: 		11000
I: 		1100100
ú: 		1100101
d: 		110011
s: 		11010
a: 		11011
 : 		111
