r: 		0000
a: 		0001
N: 		00100000
E: 		00100001
O: 		0010001000
R: 		0010001001
v: 		0010001010
Z: 		0010001011
y: 		001000110
U: 		001000111
L: 		001001000
k: 		001001001
:: 		001001010
º: 		001001011
K: 		00100110
S: 		00100111
ú: 		001010
ù: 		001011
n: 		0011
c: 		01000
u: 		01001
s: 		0101
t: 		0110
i: 		0111
b: 		100000
f: 		1000010
p: 		1000011
Ä: 		10001
‚: 		10010

: 		10011
 : 		101
¶: 		11000000
§: 		1100000100
-: 		1100000101
A: 		110000011
z: 		11000010
G: 		11000011
,: 		11000100
F: 		11000101
W: 		11000110
T: 		110001110
∂: 		110001111
√: 		11001000
B: 		110010010
M: 		110010011
I: 		1100101
o: 		110011
D: 		110100
l: 		1101010
w: 		1101011
h: 		11011
e: 		1110
d: 		111100
m: 		1111010
?: 		11110110
J: 		111101110
H: 		111101111
.: 		111110
g: 		111111
