Ä: 		00000
d: 		00001
ù: 		000100
ú: 		000101
‚: 		00011
r: 		0010
c: 		00110
u: 		00111
s: 		0100

: 		010100
k: 		01010100
E: 		01010101
W: 		01010110
§: 		01010111
o: 		010110
w: 		010111
e: 		011
.: 		100000
?: 		10000100
B: 		100001010
M: 		100001011
S: 		100001100
F: 		100001101
I: 		10000111
l: 		10001
n: 		1001
 : 		101
i: 		1100
v: 		110100000
H: 		110100001
N: 		110100010
∂: 		110100011
b: 		1101001
√: 		1101010
f: 		1101011
a: 		11011
g: 		111000
D: 		1110010
¬: 		1110011000
L: 		1110011001
K: 		1110011010
j: 		11100110110
O: 		11100110111
A: 		11100111
t: 		11101
h: 		11110
m: 		1111100
º: 		111110100
R: 		1111101010
!: 		11111010110
V: 		11111010111
z: 		11111011
p: 		11111100
y: 		11111101000
Z: 		11111101001
ü: 		11111101010
¥: 		11111101011
G: 		1111110110
T: 		11111101110
U: 		11111101111
,: 		1111111
