e: 		000
n: 		0010
a: 		0011
ô: 		010000
W: 		01000100
Y: 		01000101
B: 		010001100
q: 		0100011010
D: 		0100011011
H: 		0100011100
¶: 		0100011101
!: 		0100011110
J: 		0100011111
h: 		01001
N: 		010100000
A: 		010100001
S: 		01010001
v: 		0101001
f: 		010101
ú: 		010110
ù: 		010111
o: 		0110
k: 		0111000
c: 		0111001
m: 		011101
r: 		01111
t: 		1000
u: 		10010
.: 		100110
?: 		1001110
g: 		1001111
w: 		101000
j: 		101001000
O: 		1010010010
T: 		1010010011
b: 		10100101
I: 		1010011
s: 		10101
l: 		10110
d: 		101110
p: 		1011110
,: 		1011111
 : 		110
Ä: 		11100
‚: 		11101
y: 		111100

: 		111101
i: 		11111
