e: 		000
m: 		00100
‚: 		00101
Ä: 		00110
H: 		001110000
O: 		001110001
?: 		00111001
A: 		00111010
S: 		0011101100
0: 		0011101101
B: 		0011101110
C: 		0011101111

: 		001111
i: 		0100
l: 		01010
v: 		0101100
k: 		0101101
ù: 		0101110
D: 		0101111000
5: 		0101111001
4: 		010111101
8: 		0101111100
L: 		0101111101
T: 		010111111
t: 		0110
n: 		0111
o: 		1000
h: 		10010
u: 		10011
p: 		1010000
ô: 		1010001
g: 		101001
.: 		101010
c: 		101011
I: 		1011000
b: 		1011001
ú: 		1011010
x: 		101101100
W: 		101101101
Y: 		10110111
r: 		10111
 : 		110
f: 		111000
d: 		111001
w: 		1110100
,: 		1110101
y: 		111011
s: 		11110
a: 		11111
