i: 		0000
l: 		00010
.: 		00011
k: 		001000
T: 		0010010
O: 		0010011000
:: 		0010011001
j: 		001001101
B: 		001001110
G: 		001001111
I: 		001010
f: 		001011
o: 		0011
a: 		0100
t: 		0101
h: 		01100
m: 		011010
ù: 		011011
n: 		01110
?: 		0111100
N: 		011110100
A: 		011110101
¶: 		01111011
ú: 		011111

: 		10000
r: 		10001
u: 		10010
w: 		100110
g: 		1001110
p: 		1001111
e: 		1010
Ä: 		10110
‚: 		10111
 : 		110
y: 		111000
W: 		11100100
E: 		111001010
v: 		111001011
J: 		1110011000
-: 		1110011001
M: 		111001101
ô: 		11100111
d: 		11101
,: 		1111000
b: 		1111001
c: 		1111010
Y: 		1111011
s: 		11111
