g: 		000000
B: 		00000100
W: 		00000101
?: 		0000011
m: 		00001
c: 		000100
k: 		0001010
L: 		0001011000
j: 		0001011001
O: 		000101101
J: 		000101110
H: 		0001011110
¶: 		0001011111
h: 		00011
Ä: 		0010
‚: 		0011
d: 		01000
,: 		010010
w: 		010011
s: 		01010
Y: 		0101100
b: 		0101101
ô: 		010111

: 		01100
t: 		01101
r: 		01110
y: 		01111
a: 		10000
v: 		100010
ù: 		100011
I: 		1001000
f: 		1001001
ú: 		100101
l: 		10011
 : 		101
o: 		1100
n: 		11010
u: 		11011
i: 		11100
E: 		111010000
x: 		111010001
S: 		1110100100
z: 		1110100101
N: 		111010011
A: 		11101010
p: 		11101011
.: 		111011
e: 		1111
