t: 		0000
º: 		00010000
L: 		000100010
R: 		000100011
M: 		00010010
k: 		00010011
?: 		0001010
S: 		00010110
¬: 		0001011100
O: 		0001011101
N: 		000101111
u: 		00011
e: 		001
s: 		0100
n: 		0101
w: 		011000
D: 		011001
c: 		01101
f: 		0111000
√: 		0111001
F: 		01110100
G: 		01110101
§: 		011101100
V: 		01110110100
Z: 		01110110101
ü: 		01110110110
¥: 		01110110111
A: 		01110111
T: 		0111100000
U: 		01111000010
y: 		01111000011
∂: 		011110001
E: 		011110010
J: 		011110011
,: 		0111101
ù: 		011111
o: 		100000
ú: 		100001
Ä: 		10001
‚: 		10010
p: 		1001100
I: 		1001101
W: 		10011100
z: 		10011101
b: 		1001111
 : 		101
i: 		1100
-: 		11010000000
j: 		11010000001
B: 		1101000001
K: 		110100001
¶: 		110100010
H: 		110100011
m: 		1101001
l: 		110101

: 		110110
.: 		110111
a: 		11100
h: 		11101
g: 		111100
d: 		111101
r: 		11111
