Ä	173
ì	1
ú	82
ù	82
ü	7
§	13
¶	8
¥	1
∂	12
º	19
¬	1
√	51
‚	173
\n	143
space	999
!	2
,	64
-	2
.	121
0	1
4	2
5	1
8	1
:	2
?	35
A	21
B	9
C	1
D	106
E	19
F	13
G	14
H	8
I	39
J	12
K	11
L	14
M	16
N	13
O	5
P	2
R	5
S	15
T	7
U	16
V	3
W	27
Z	8
a	282
b	85
c	176
d	179
e	749
f	56
g	135
h	259
i	430
j	12
k	33
l	149
m	95
n	461
o	90
p	24
r	316
s	382
t	323
u	185
v	22
w	85
x	1
y	4
z	34
